date,organization,facebook_checkins,facebook_likes,facebook_talking_about_count,facebook_were_here_count,twitter_followers_count,twitter_friends_count,twitter_listed_count,twitter_favourites_count,twitter_statuses_count
5-3-2014,NYCLU,188,10135,288,188,14883,1889,731,606,20190
5-3-2014,Center for Constitutional Rights,10,30885,2229,10,11590,2142,784,109,8651
