date,organization,facebook_checkins,facebook_likes,facebook_talking_about_count,facebook_were_here_count,twitter_followers_count,twitter_friends_count,twitter_listed_count,twitter_favourites_count,twitter_statuses_count
5-6-2014,NYCLU,188,10137,219,188,14886,1894,731,628,20212
5-6-2014,Center for Constitutional Rights,10,30927,1835,10,11601,2144,784,113,8805
